CWE,NVD_count,Avg_CVSS_V3_baseScore,Avg_CVSS_V3_exploitabilityScore,Avg_CVSS_V3_attackComplexity,Avg_CVSS_V3_privilegesRequired,Avg_CVSS_V3_userInteraction,Avg_CVSS_V3_time,Sv_cwe,CWE_score
NVD-CWE-noinfo,4055,6.93,2.54,1.11,1.55,0.24,1.79,0.6260774112056781,62.61
CWE-79,3848,5.8,2.52,1.0,1.54,0.98,2.52,0.4874182343694538,46.25
CWE-787,2013,8.28,2.57,1.15,1.21,0.54,1.75,0.78990222092981,39.2
CWE-20,1887,7.33,2.78,1.05,1.44,0.21,1.65,0.6746545684852715,31.39
CWE-125,1602,7.13,2.85,1.02,1.13,0.53,1.66,0.6505054657288145,25.69
CWE-200,1474,6.0,2.86,1.08,1.4,0.13,1.5299999999999998,0.5126667107919385,18.63
CWE-119,1230,8.06,2.65,1.03,1.28,0.4,1.6800000000000002,0.7630180448145946,23.13
CWE-416,935,8.24,2.65,1.05,1.2,0.55,1.75,0.7859006130168252,18.11
CWE-89,911,8.98,3.31,1.01,1.45,0.02,1.47,0.8751706781612271,19.64
CWE-352,877,8.07,2.77,1.01,1.05,0.99,2.04,0.7650944183330088,16.53
CWE-190,860,7.7,3.41,1.01,1.1,0.2,1.3,0.7194129325014179,15.24
CWE-22,801,7.27,3.2,1.03,1.41,0.09,1.5,0.6668036905088153,13.16
CWE-78,778,8.53,2.6,1.03,1.82,0.05,1.87,0.8210546115743933,15.74
CWE-476,537,6.85,2.79,1.04,1.24,0.39,1.63,0.6152972702911388,8.14
CWE-287,473,8.0,3.03,1.11,1.24,0.04,1.28,0.7558139534883721,8.8
CWE-732,431,7.01,2.36,1.07,1.73,0.11,1.84,0.6357308584686774,6.74
CWE-434,349,8.49,2.9,1.03,1.72,0.05,1.77,0.815954993360822,7.0
CWE-94,309,8.74,2.94,1.05,1.55,0.11,1.6600000000000001,0.8464756492225115,6.43
CWE-522,306,7.88,2.77,1.05,1.62,0.02,1.6400000000000001,0.7412721186035391,5.58
CWE-269,301,7.34,2.29,1.07,1.84,0.08,1.9200000000000002,0.6751883964022366,5.0
CWE-611,285,7.87,3.16,1.06,1.34,0.15,1.49,0.7403508771929825,5.19
CWE-400,268,7.11,3.39,1.03,1.15,0.13,1.2799999999999998,0.6470240262104114,4.26
CWE-120,257,8.43,2.81,1.02,1.38,0.13,1.5099999999999998,0.8080573218183545,5.1
CWE-862,254,6.83,2.86,1.03,1.67,0.09,1.76,0.6133570193969657,3.83
CWE-798,245,8.74,3.3,1.08,1.18,0.01,1.19,0.8460925833748132,5.09
CWE-502,225,8.96,3.29,1.06,1.25,0.14,1.3900000000000001,0.8733875338753386,4.83
CWE-306,206,8.09,3.61,1.02,1.06,0.01,1.07,0.766871892019891,3.88
NVD-CWE-Other,186,7.18,2.89,1.05,1.48,0.09,1.57,0.6561106740099659,2.99
CWE-295,185,7.18,2.7,1.57,1.06,0.04,1.1,0.6558338826631509,2.98
CWE-863,178,7.09,2.66,1.08,1.63,0.11,1.74,0.6451082488352975,2.82
CWE-601,177,6.12,2.77,1.01,1.05,0.97,2.02,0.5268706076891279,2.29
CWE-426,174,7.68,1.75,1.01,1.3,0.83,2.13,0.7174796747967478,3.06
CWE-362,170,6.76,1.51,1.92,1.55,0.19,1.74,0.6044476327116213,2.52
CWE-918,163,7.84,3.3,1.03,1.47,0.03,1.5,0.7370941194074517,2.95
CWE-532,156,6.81,2.61,1.11,1.7,0.01,1.71,0.6105378361475923,2.33
CWE-835,146,6.75,3.02,1.03,1.15,0.37,1.52,0.6039091212829938,2.16
CWE-770,130,7.03,3.19,1.04,1.15,0.28,1.43,0.6378048780487807,2.03
CWE-59,127,7.08,2.1,1.13,1.75,0.12,1.87,0.6442289226041866,2.0
CWE-772,127,6.7,3.02,1.04,1.15,0.39,1.54,0.5969848281159977,1.86
CWE-276,123,6.74,2.27,1.04,1.85,0.07,1.9200000000000002,0.6030140789212769,1.81
CWE-74,120,7.16,2.78,1.05,1.51,0.32,1.83,0.6531504065040651,1.92
CWE-415,119,8.05,2.57,1.03,1.34,0.33,1.6700000000000002,0.762553802008608,2.22
CWE-704,113,8.45,2.65,1.01,1.08,0.85,1.9300000000000002,0.811569177638679,2.24
CWE-319,112,7.16,3.1,1.21,1.13,0.09,1.22,0.654072299651568,1.79
CWE-77,109,8.53,2.81,1.02,1.65,0.12,1.77,0.8209890355784291,2.19
CWE-401,108,6.21,2.65,1.17,1.39,0.19,1.5799999999999998,0.5381662149954833,1.42
CWE-311,106,7.05,2.71,1.18,1.51,0.05,1.56,0.6407040957202024,1.66
CWE-384,89,7.14,2.71,1.18,1.35,0.35,1.7000000000000002,0.6512743217319814,1.41
CWE-326,83,7.26,3.21,1.19,1.12,0.04,1.1600000000000001,0.6663238319130178,1.35
CWE-347,82,7.09,2.69,1.18,1.49,0.07,1.56,0.6445568114217728,1.29
CWE-312,82,6.95,2.5,1.05,1.8,0.04,1.84,0.6274538964901843,1.25
CWE-908,76,6.74,2.67,1.01,1.18,0.5,1.68,0.6023748395378692,1.11
CWE-129,76,8.1,2.43,1.0,1.55,0.21,1.76,0.7684531450577663,1.42
CWE-843,74,8.59,2.95,1.16,1.01,0.5,1.51,0.8274555042847723,1.49
CWE-327,73,6.81,2.79,1.33,1.22,0.05,1.27,0.6107584363514869,1.08
CWE-755,72,7.1,3.04,1.06,1.4,0.08,1.48,0.6468495934959351,1.13
CWE-674,68,6.64,2.79,1.0,1.1,0.57,1.67,0.5898493543758968,0.97
CWE-917,65,8.82,2.94,1.0,1.86,0.0,1.86,0.8564727954971857,1.35
CWE-665,63,6.29,2.08,1.13,1.67,0.24,1.91,0.5472319008904376,0.84
CWE-639,60,6.67,3.1,1.03,1.6,0.03,1.6300000000000001,0.5934959349593497,0.86
CWE-427,58,7.48,1.66,1.07,1.62,0.59,2.21,0.692178301093356,0.97
CWE-369,56,6.3,2.5,1.05,1.05,0.82,1.87,0.548780487804878,0.74
CWE-404,55,7.46,2.07,1.24,1.8,0.0,1.8,0.6904656319290468,0.92
CWE-345,54,7.01,2.76,1.19,1.41,0.17,1.5799999999999998,0.6355013550135503,0.83
CWE-617,54,6.92,3.17,1.07,1.09,0.37,1.46,0.6244354110207769,0.82
CWE-88,49,7.69,2.3,1.06,1.88,0.1,1.98,0.718765555002489,0.85
CWE-346,48,6.94,3.0,1.17,1.12,0.35,1.4700000000000002,0.6265243902439025,0.73
CWE-19,48,7.54,3.06,1.06,1.19,0.31,1.5,0.6999491869918699,0.81
CWE-209,47,5.66,3.15,1.06,1.45,0.06,1.51,0.47016087182148425,0.53
CWE-754,47,7.16,3.04,1.06,1.34,0.11,1.4500000000000002,0.6538661131292166,0.74
CWE-1236,46,8.25,2.56,1.0,1.39,0.59,1.98,0.7868504772004242,0.87
CWE-310,46,7.08,2.79,1.39,1.2,0.04,1.24,0.6434252386002122,0.71
CWE-1188,46,8.61,3.01,1.07,1.35,0.11,1.4600000000000002,0.8305938494167554,0.92
CWE-668,43,7.53,2.71,1.02,1.53,0.07,1.6,0.6982416335791266,0.72
CWE-191,42,8.3,3.01,1.05,1.19,0.24,1.43,0.7923925667828108,0.8
CWE-307,41,8.55,3.51,1.05,1.1,0.0,1.1,0.8233194527067225,0.81
CWE-640,39,8.68,3.23,1.13,1.13,0.15,1.2799999999999998,0.8386491557223269,0.79
CWE-521,38,8.3,3.4,1.05,1.24,0.0,1.24,0.7926829268292684,0.72
CWE-203,38,6.05,2.53,1.5,1.29,0.08,1.37,0.5186136071887036,0.47
CWE-610,38,5.22,2.12,1.0,1.89,0.0,1.89,0.4175224646983315,0.38
CWE-284,37,7.27,2.77,1.08,1.59,0.05,1.6400000000000001,0.667106130520765,0.59
CWE-134,37,7.64,2.98,1.03,1.38,0.14,1.52,0.7125906394199079,0.63
CWE-613,37,7.39,2.35,1.24,1.81,0.19,2.0,0.6812788398154254,0.6
CWE-290,35,6.58,3.12,1.11,1.11,0.4,1.5100000000000002,0.583275261324042,0.49
CWE-1021,35,5.8,2.73,1.0,1.09,0.91,2.0,0.48780487804878064,0.41
CWE-330,35,7.27,3.15,1.23,1.23,0.03,1.26,0.6668989547038329,0.56
CWE-425,34,7.16,3.47,1.0,1.32,0.03,1.35,0.6535150645624106,0.53
CWE-444,29,7.4,3.63,1.1,1.07,0.03,1.1,0.6825063078216992,0.47
CWE-428,29,7.68,1.79,1.0,2.03,0.07,2.0999999999999996,0.7169890664423888,0.5
CWE-824,28,7.81,2.62,1.07,1.25,0.46,1.71,0.7334494773519166,0.49
CWE-693,27,6.92,3.08,1.04,1.3,0.04,1.34,0.6246612466124662,0.4
CWE-367,26,6.73,1.87,1.62,1.58,0.0,1.58,0.601782363977486,0.37
CWE-116,25,7.28,3.04,1.08,1.44,0.16,1.5999999999999999,0.6687804878048782,0.4
CWE-338,24,7.2,3.37,1.17,1.17,0.0,1.17,0.6590447154471545,0.37
CWE-264,24,7.7,2.2,1.04,1.75,0.17,1.92,0.7200203252032521,0.41
CWE-320,24,6.98,2.83,1.38,1.12,0.04,1.1600000000000001,0.6310975609756099,0.36
CWE-91,23,8.11,3.06,1.04,1.52,0.17,1.69,0.7698833510074231,0.42
CWE-922,23,4.83,2.21,1.04,1.39,0.13,1.52,0.3690349946977731,0.2
CWE-281,22,6.76,2.67,1.05,1.68,0.18,1.8599999999999999,0.6047671840354768,0.31
CWE-294,21,7.33,2.78,1.33,1.14,0.05,1.19,0.6747967479674796,0.33
CWE-909,18,6.72,3.06,1.0,1.06,0.61,1.67,0.6002710027100272,0.25
CWE-682,17,7.75,2.91,1.0,1.24,0.35,1.5899999999999999,0.72596843615495,0.29
