CWE,NVD_count,Avg_CVSS_V3,min_CVSS_V3,max_CVSS_V3,avg_CVSS_V3_severity,avg_CVSS_V3_exploitability,Sv_cwe,CWE_score
CWE-416,935,8.244385026737966,1.8,10.0,3.0631016042780748,2.6539037433155075,0.7859006130168252,18.10634367433929
CWE-119,1230,8.056747967479675,1.8,10.0,3.043089430894309,2.649349593495935,0.7630180448145946,23.13145478729987
NVD-CWE-noinfo,4055,6.933834771886559,1.8,10.0,2.608138101109741,2.542564734895191,0.6260774112056781,62.60774112056781
CWE-400,268,7.105597014925373,1.8,10.0,2.6865671641791047,3.3940298507462674,0.6470240262104114,4.261357054715833
CWE-754,47,7.161702127659575,1.8,10.0,2.702127659574468,3.040425531914894,0.6538661131292166,0.7419299754302902
CWE-770,130,7.030000000000001,1.8,10.0,2.5923076923076924,3.19,0.6378048780487807,2.0295221822469833
CWE-94,309,8.741100323624593,1.8,10.0,3.394822006472492,2.935922330097087,0.8464756492225115,6.431043412938667
CWE-77,109,8.532110091743117,1.8,10.0,3.229357798165138,2.807339449541284,0.8209890355784291,2.1871439527003043
CWE-287,473,7.9976744186046504,1.8,10.0,3.0824524312896404,3.032135306553911,0.7558139534883721,8.799807253243996
CWE-269,301,7.336544850498339,1.8,10.0,2.744186046511628,2.2860465116279074,0.6751883964022366,4.996460752853255
CWE-79,3848,5.796829521829521,1.8,10.0,2.0296257796257797,2.5204781704781705,0.4874182343694538,46.253032748379105
CWE-200,1474,6.003867028493895,1.8,10.0,2.2584803256445047,2.861940298507463,0.5126667107919385,18.627480636322776
CWE-862,254,6.829527559055118,1.8,10.0,2.5511811023622046,2.8618110236220473,0.6133570193969657,3.8278077431532394
CWE-20,1887,7.332167461579226,1.8,10.0,2.7567567567567566,2.7829358770535233,0.6746545684852715,31.386248548673457
CWE-276,123,6.74471544715447,1.8,10.0,2.5365853658536586,2.2747967479674793,0.6030140789212769,1.8146945640946173
CWE-798,245,8.737959183673468,1.8,10.0,3.4448979591836735,3.3036734693877534,0.8460925833748132,5.092417127366907
CWE-532,156,6.806410256410256,1.8,10.0,2.5641025641025643,2.6121794871794872,0.6105378361475923,2.334320784481421
CWE-476,537,6.845437616387337,1.8,10.0,2.5288640595903167,2.785288640595903,0.6152972702911388,8.135158778392954
CWE-732,431,7.012993039443154,1.8,10.0,2.6542923433874708,2.364733178654293,0.6357308584686774,6.743075213160614
CWE-312,82,6.945121951219511,1.8,10.0,2.6097560975609757,2.497560975609756,0.6274538964901843,1.2536696007820654
