,CWE,CVE,CVSS_V3_baseScore,CVSS_V3_exploitabilityScore,CVSS_V3_attackComplexity,CVSS_V3_privilegesRequired,CVSS_V3_userInteraction
0,CWE-674,CVE-2019-0001,7.5,3.9,LOW,NONE,NONE
1,NVD-CWE-noinfo,CVE-2019-0002,9.8,3.9,LOW,NONE,NONE
2,CWE-617,CVE-2019-0003,5.9,2.2,HIGH,NONE,NONE
3,CWE-532,CVE-2019-0004,5.5,1.8,LOW,LOW,NONE
4,CWE-770,CVE-2019-0005,5.3,3.9,LOW,NONE,NONE
5,CWE-20,CVE-2019-0006,9.8,3.9,LOW,NONE,NONE
6,CWE-330,CVE-2019-0007,10.0,3.9,LOW,NONE,NONE
7,CWE-787,CVE-2019-0008,9.8,3.9,LOW,NONE,NONE
8,CWE-20,CVE-2019-0009,5.5,1.8,LOW,LOW,NONE
9,CWE-770,CVE-2019-0010,7.5,3.9,LOW,NONE,NONE
10,CWE-20,CVE-2019-0011,6.5,2.8,LOW,NONE,NONE
11,CWE-400,CVE-2019-0012,7.5,3.9,LOW,NONE,NONE
12,CWE-19,CVE-2019-0013,7.5,3.9,LOW,NONE,NONE
13,CWE-19,CVE-2019-0014,7.5,3.9,LOW,NONE,NONE
14,CWE-613,CVE-2019-0015,5.4,2.8,LOW,LOW,NONE
15,NVD-CWE-noinfo,CVE-2019-0016,6.5,2.8,LOW,LOW,NONE
16,CWE-434,CVE-2019-0017,8.8,2.8,LOW,LOW,NONE
17,CWE-79,CVE-2019-0018,5.4,2.3,LOW,LOW,REQUIRED
18,CWE-20,CVE-2019-0019,7.5,3.9,LOW,NONE,NONE
19,CWE-798,CVE-2019-0020,9.8,3.9,LOW,NONE,NONE
20,CWE-532,CVE-2019-0021,5.5,1.8,LOW,LOW,NONE
21,CWE-798,CVE-2019-0022,9.8,3.9,LOW,NONE,NONE
22,CWE-79,CVE-2019-0023,5.4,2.3,LOW,LOW,REQUIRED
23,CWE-79,CVE-2019-0024,5.4,2.3,LOW,LOW,REQUIRED
24,CWE-79,CVE-2019-0025,5.4,2.3,LOW,LOW,REQUIRED
25,CWE-79,CVE-2019-0026,5.4,2.3,LOW,LOW,REQUIRED
26,CWE-79,CVE-2019-0027,5.4,2.3,LOW,LOW,REQUIRED
27,CWE-20,CVE-2019-0028,7.5,3.9,LOW,NONE,NONE
28,CWE-532,CVE-2019-0029,7.8,1.8,LOW,LOW,NONE
29,CWE-326,CVE-2019-0030,7.2,1.2,LOW,HIGH,NONE
30,CWE-770,CVE-2019-0031,7.5,3.9,LOW,NONE,NONE
31,CWE-522,CVE-2019-0032,7.8,1.8,LOW,LOW,NONE
32,CWE-532,CVE-2019-0032,7.8,1.8,LOW,LOW,NONE
33,CWE-400,CVE-2019-0033,7.5,3.9,LOW,NONE,NONE
34,CWE-522,CVE-2019-0035,6.8,0.9,LOW,NONE,NONE
35,CWE-754,CVE-2019-0036,9.8,3.9,LOW,NONE,NONE
36,CWE-20,CVE-2019-0037,7.5,3.9,LOW,NONE,NONE
37,CWE-770,CVE-2019-0038,6.5,2.8,LOW,NONE,NONE
38,CWE-307,CVE-2019-0039,8.1,2.2,HIGH,NONE,NONE
39,CWE-200,CVE-2019-0040,9.1,3.9,LOW,NONE,NONE
40,NVD-CWE-noinfo,CVE-2019-0041,8.6,3.9,LOW,NONE,NONE
41,CWE-20,CVE-2019-0042,4.2,0.5,HIGH,NONE,NONE
42,CWE-20,CVE-2019-0043,7.5,3.9,LOW,NONE,NONE
43,CWE-20,CVE-2019-0044,7.5,3.9,LOW,NONE,NONE
44,CWE-400,CVE-2019-0046,6.5,2.8,LOW,NONE,NONE
45,CWE-79,CVE-2019-0047,8.8,2.8,LOW,NONE,REQUIRED
46,NVD-CWE-Other,CVE-2019-0048,5.8,3.9,LOW,NONE,NONE
47,CWE-20,CVE-2019-0049,7.5,3.9,LOW,NONE,NONE
48,CWE-20,CVE-2019-0050,7.5,3.9,LOW,NONE,NONE
49,CWE-755,CVE-2019-0051,7.5,3.9,LOW,NONE,NONE
50,CWE-436,CVE-2019-0052,7.5,3.9,LOW,NONE,NONE
51,CWE-787,CVE-2019-0053,7.8,1.8,LOW,LOW,NONE
52,CWE-295,CVE-2019-0054,7.4,2.2,HIGH,NONE,NONE
53,CWE-20,CVE-2019-0055,7.5,3.9,LOW,NONE,NONE
54,CWE-20,CVE-2019-0056,7.5,3.9,LOW,NONE,NONE
55,NVD-CWE-noinfo,CVE-2019-0057,7.8,1.8,LOW,LOW,NONE
56,NVD-CWE-noinfo,CVE-2019-0058,7.8,1.8,LOW,LOW,NONE
