CWE,NVD_count,Avg_CVSS_V3_baseScore,Avg_CVSS_V3_exploitabilityScore,Avg_CVSS_V3_attackComplexity,Avg_CVSS_V3_privilegesRequired,Avg_CVSS_V3_userInteraction,Avg_CVSS_V3_time,Sv_cwe,NormalisedAvg_CVSS_V3_exploitabilityScore,NormalisedAvg_CVSS_V3_attackComplexity,CWE_score
CWE-79,3848,5.797,2.5204781704781705,1.0044178794178795,1.538,0.985,2.523,0.4874182343694538,0.433,0.004,46.253
CWE-787,2013,8.277,2.569796323894684,1.1480377545951317,1.214,0.54,1.754,0.78990222092981,0.453,0.148,39.203
CWE-20,1887,7.332,2.7829358770535233,1.051934287228405,1.437,0.208,1.645,0.6746545684852715,0.541,0.052,31.386
CWE-125,1602,7.134,2.851373283395755,1.0187265917602997,1.13,0.531,1.661,0.6505054657288145,0.569,0.019,25.69
CWE-200,1474,6.004,2.861940298507463,1.0820895522388059,1.4,0.134,1.5339999999999998,0.5126667107919385,0.573,0.082,18.627
CWE-119,1230,8.057,2.649349593495935,1.0308943089430895,1.28,0.395,1.675,0.7630180448145946,0.486,0.031,23.131
CWE-416,935,8.244,2.6539037433155075,1.0524064171122995,1.201,0.554,1.7550000000000001,0.7859006130168252,0.488,0.052,18.106
CWE-89,911,8.976,3.31251372118551,1.013172338090011,1.447,0.015,1.462,0.8751706781612271,0.759,0.013,19.645
CWE-352,877,8.074,2.765108323831243,1.0091220068415052,1.048,0.985,2.033,0.7650944183330088,0.534,0.009,16.532
CWE-190,860,7.699,3.4077906976744186,1.0069767441860464,1.095,0.195,1.29,0.7194129325014179,0.798,0.007,15.244
CWE-22,801,7.268,3.2038701622971284,1.0274656679151062,1.406,0.089,1.4949999999999999,0.6668036905088153,0.714,0.027,13.158
CWE-78,778,8.533,2.5984575835475576,1.0269922879177378,1.824,0.049,1.873,0.8210546115743933,0.465,0.027,15.737
CWE-476,537,6.845,2.785288640595903,1.0409683426443204,1.242,0.389,1.631,0.6152972702911388,0.542,0.041,8.135
CWE-287,473,7.998,3.032135306553911,1.1120507399577166,1.243,0.04,1.2830000000000001,0.7558139534883721,0.643,0.112,8.8
CWE-732,431,7.013,2.364733178654293,1.0696055684454757,1.726,0.114,1.84,0.6357308584686774,0.369,0.07,6.743
CWE-434,349,8.491,2.902578796561605,1.0315186246418337,1.725,0.054,1.7790000000000001,0.815954993360822,0.59,0.032,7.004
CWE-94,309,8.741,2.935922330097087,1.0485436893203883,1.55,0.11,1.6600000000000001,0.8464756492225115,0.604,0.049,6.431
CWE-522,306,7.878,2.765359477124183,1.0522875816993464,1.621,0.02,1.641,0.7412721186035391,0.534,0.052,5.577
CWE-269,301,7.337,2.2860465116279074,1.069767441860465,1.844,0.08,1.9240000000000002,0.6751883964022366,0.337,0.07,4.996
CWE-611,285,7.871,3.1564912280701756,1.056140350877193,1.344,0.154,1.498,0.7403508771929825,0.694,0.056,5.186
CWE-400,268,7.106,3.3940298507462674,1.0335820895522387,1.146,0.127,1.273,0.6470240262104114,0.792,0.034,4.261
CWE-862,254,6.83,2.8618110236220473,1.0275590551181102,1.665,0.087,1.752,0.6133570193969657,0.573,0.028,3.828
CWE-798,245,8.738,3.3036734693877534,1.0775510204081633,1.176,0.012,1.188,0.8460925833748132,0.755,0.078,5.092
CWE-502,225,8.962,3.286666666666666,1.0622222222222222,1.249,0.138,1.387,0.8733875338753386,0.748,0.062,4.826
CWE-306,206,8.088,3.6067961165048534,1.0242718446601942,1.063,0.015,1.0779999999999998,0.766871892019891,0.88,0.024,3.878
